                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1722,                 2.1299,                 1.3157,                0.63224,                0.45464,                 0.4771,                0.18739,                 2.1204,                 1.8554,                 1.4201,               0.070016,              0.0033316,              0.0033316
                      2,                 2.0745,                 1.6635,                 1.2752,                 0.6025,                0.58192,                0.59706,                0.23048,                 2.1456,                 1.6499,                 1.4075,               0.040014,              0.0066633,              0.0066633
                      3,                 2.0151,                 1.5416,                 1.2512,                0.67197,                0.49374,                0.58124,                 0.2441,                 2.0426,                 1.8866,                 1.3673,               0.010006,              0.0099885,              0.0099885
                      4,                 1.9327,                 1.4118,                 1.2156,                 0.6336,                0.62616,                0.69169,                0.25276,                 2.1284,                 1.5007,                 1.3974,               0.009978,               0.009978,               0.009978
                      5,                 1.9051,                 1.3405,                 1.2092,                0.59558,                0.60706,                0.65346,                0.24757,                  2.094,                 1.4904,                 1.3692,               0.009978,               0.009978,               0.009978
                      6,                 1.8939,                   1.29,                 1.2017,                0.74205,                0.67511,                0.73732,                0.32551,                 1.9034,                  1.387,                 1.3195,               0.009961,               0.009961,               0.009961
                      7,                 1.8374,                 1.2233,                 1.1733,                0.73667,                0.70599,                0.73803,                0.29126,                  2.029,                 1.3705,                 1.3524,              0.0099391,              0.0099391,              0.0099391
                      8,                 1.8255,                 1.1869,                 1.1691,                0.67186,                0.66795,                0.70004,                0.28807,                 2.0406,                 1.3939,                 1.3615,              0.0099123,              0.0099123,              0.0099123
                      9,                 1.7967,                 1.1473,                 1.1587,                0.77729,                0.72255,                0.75342,                0.30259,                  1.991,                 1.3176,                 1.3485,              0.0098808,              0.0098808,              0.0098808
                     10,                 1.7835,                 1.1094,                 1.1558,                0.77099,                0.70865,                0.74773,                0.30466,                 2.0537,                 1.4177,                 1.3659,              0.0098445,              0.0098445,              0.0098445
                     11,                 1.7693,                  1.086,                 1.1441,                0.77778,                0.74919,                0.76235,                0.30819,                 2.0583,                 1.3236,                 1.3541,              0.0098035,              0.0098035,              0.0098035
                     12,                 1.7575,                 1.0656,                 1.1407,                0.77229,                 0.7446,                0.77986,                0.32012,                 2.0015,                 1.2511,                 1.3509,              0.0097577,              0.0097577,              0.0097577
                     13,                 1.7513,                 1.0619,                 1.1373,                0.68508,                0.69492,                0.71607,                0.28313,                 2.1073,                 1.3284,                 1.4128,              0.0097074,              0.0097074,              0.0097074
                     14,                 1.7358,                 1.0328,                  1.135,                0.81344,                0.71248,                0.76585,                0.30435,                 2.0813,                 1.3092,                 1.3906,              0.0096524,              0.0096524,              0.0096524
                     15,                 1.7175,                 1.0004,                 1.1204,                0.75705,                0.73466,                0.75335,                0.28556,                   2.07,                 1.2545,                 1.3763,              0.0095929,              0.0095929,              0.0095929
                     16,                 1.7081,                 0.9984,                 1.1194,                0.81529,                0.75747,                0.78943,                  0.329,                 1.9677,                 1.2167,                 1.3278,              0.0095289,              0.0095289,              0.0095289
                     17,                 1.7071,                0.98588,                 1.1149,                0.80092,                0.79147,                0.81624,                0.32628,                 1.9864,                 1.2036,                 1.3205,              0.0094605,              0.0094605,              0.0094605
                     18,                 1.6887,                0.96874,                 1.1116,                0.78615,                0.73329,                0.75758,                0.30854,                 2.0522,                 1.1975,                 1.3608,              0.0093877,              0.0093877,              0.0093877
                     19,                 1.6966,                0.96113,                  1.114,                0.77554,                0.72056,                 0.7754,                0.31874,                 2.0047,                 1.2778,                 1.3333,              0.0093107,              0.0093107,              0.0093107
                     20,                 1.6693,                0.93293,                 1.1016,                0.81086,                0.78043,                0.78276,                0.32613,                 1.9856,                 1.2162,                 1.3448,              0.0092294,              0.0092294,              0.0092294
                     21,                 1.6669,                0.92957,                 1.0988,                0.77301,                 0.7588,                0.75111,                0.30161,                 2.0394,                 1.2437,                  1.352,               0.009144,               0.009144,               0.009144
                     22,                 1.6684,                0.91601,                 1.1058,                0.76881,                0.73111,                0.75843,                0.29522,                   2.08,                 1.2327,                 1.3653,              0.0090546,              0.0090546,              0.0090546
                     23,                 1.6412,                0.90445,                 1.0937,                0.76883,                 0.7782,                 0.7686,                0.30556,                 2.0601,                 1.2503,                 1.3679,              0.0089613,              0.0089613,              0.0089613
                     24,                 1.6407,                  0.899,                 1.0909,                0.82914,                 0.8076,                0.79143,                0.32311,                  2.014,                 1.1868,                 1.3469,               0.008864,               0.008864,               0.008864
                     25,                 1.6327,                0.88763,                 1.0884,                0.81113,                0.77132,                0.79802,                 0.3347,                  1.972,                 1.1661,                 1.3282,               0.008763,               0.008763,               0.008763
                     26,                 1.6323,                0.88406,                 1.0863,                0.82621,                0.76955,                0.78078,                0.32085,                 1.9785,                 1.1868,                 1.3364,              0.0086584,              0.0086584,              0.0086584
                     27,                 1.6142,                0.86686,                 1.0823,                 0.8235,                0.78535,                0.78281,                0.32504,                 1.9669,                 1.1974,                  1.335,              0.0085502,              0.0085502,              0.0085502
                     28,                 1.6175,                0.87216,                 1.0834,                0.84645,                0.79198,                0.80767,                0.33511,                 1.9681,                 1.1733,                 1.3258,              0.0084385,              0.0084385,              0.0084385
                     29,                 1.6123,                0.86239,                 1.0804,                0.82599,                0.78733,                0.80035,                 0.3308,                 1.9743,                 1.1291,                  1.334,              0.0083235,              0.0083235,              0.0083235
                     30,                 1.6111,                0.85387,                 1.0775,                0.83813,                 0.7659,                0.78947,                 0.3276,                 1.9722,                 1.1488,                  1.337,              0.0082052,              0.0082052,              0.0082052
                     31,                 1.5988,                0.83591,                 1.0776,                0.82389,                   0.78,                0.81077,                0.33102,                 1.9972,                 1.1525,                 1.3444,              0.0080839,              0.0080839,              0.0080839
                     32,                 1.5996,                0.83881,                 1.0719,                0.84815,                0.77362,                0.78929,                0.32645,                 1.9961,                 1.2167,                 1.3454,              0.0079595,              0.0079595,              0.0079595
                     33,                 1.5881,                0.83276,                  1.071,                 0.8496,                0.81382,                0.82945,                0.34803,                 1.9223,                 1.1591,                 1.3122,              0.0078323,              0.0078323,              0.0078323
                     34,                 1.5955,                0.83255,                  1.072,                0.84137,                0.77361,                0.79936,                0.33808,                 1.9629,                 1.1152,                 1.3163,              0.0077023,              0.0077023,              0.0077023
                     35,                 1.5821,                0.81909,                 1.0682,                0.81937,                0.77634,                0.79756,                0.34226,                 1.9746,                 1.1658,                 1.3358,              0.0075698,              0.0075698,              0.0075698
                     36,                 1.5677,                0.81938,                 1.0592,                0.81407,                0.79195,                 0.7842,                0.33415,                 1.9685,                 1.1389,                 1.3304,              0.0074347,              0.0074347,              0.0074347
                     37,                 1.5759,                0.81268,                 1.0625,                0.84122,                0.80539,                0.80543,                0.33753,                 1.9675,                 1.1408,                 1.3221,              0.0072973,              0.0072973,              0.0072973
                     38,                 1.5598,                0.80435,                  1.062,                0.82322,                0.80471,                 0.7991,                0.33028,                 1.9971,                 1.1376,                 1.3403,              0.0071576,              0.0071576,              0.0071576
                     39,                  1.556,                0.79837,                 1.0571,                0.82822,                0.78336,                0.78818,                0.32685,                 2.0065,                 1.1528,                 1.3561,              0.0070159,              0.0070159,              0.0070159
                     40,                 1.5468,                 0.7883,                 1.0547,                0.82317,                0.78583,                0.79132,                0.32607,                 2.0124,                 1.1178,                 1.3526,              0.0068722,              0.0068722,              0.0068722
                     41,                 1.5503,                0.78726,                  1.058,                0.84038,                0.78824,                0.80029,                0.33739,                   1.97,                  1.162,                 1.3377,              0.0067268,              0.0067268,              0.0067268
                     42,                 1.5466,                0.78268,                  1.053,                  0.815,                0.80002,                0.79095,                0.32981,                 1.9693,                 1.1278,                 1.3318,              0.0065796,              0.0065796,              0.0065796
                     43,                 1.5387,                0.77592,                 1.0518,                0.83845,                0.80016,                0.80938,                0.34186,                 1.9524,                 1.0914,                 1.3284,               0.006431,               0.006431,               0.006431
                     44,                 1.5368,                0.76476,                 1.0487,                0.82739,                0.81174,                0.81406,                0.33755,                 1.9844,                 1.1099,                 1.3479,               0.006281,               0.006281,               0.006281
                     45,                 1.5273,                0.76353,                  1.045,                0.84249,                0.80707,                0.80574,                0.33351,                 1.9717,                 1.1379,                 1.3378,              0.0061298,              0.0061298,              0.0061298
                     46,                 1.5294,                0.76608,                 1.0484,                0.82062,                0.82189,                0.81446,                0.33833,                 1.9771,                 1.1096,                 1.3415,              0.0059775,              0.0059775,              0.0059775
                     47,                 1.5253,                0.75247,                 1.0447,                0.84799,                 0.7891,                0.80808,                0.33685,                 1.9767,                 1.1496,                  1.339,              0.0058244,              0.0058244,              0.0058244
                     48,                 1.5173,                0.75704,                  1.047,                0.83841,                0.79659,                0.79193,                 0.3318,                 1.9754,                 1.1099,                 1.3359,              0.0056704,              0.0056704,              0.0056704
